rank,nickname,firstname,lastname,total
165,NULL,Jermaine,O'Neal,119
166,NULL,Cliff,Hagan,119
167,NULL,Larry,Foust,119
168,Pops,Caldwell,Jones,117
169,NULL,Deron,Williams,117
170,"The Pearl",Earl,Monroe,117
171,NULL,Carl,Braun,117
172,NULL,Norm,"Van Lier",116
173,NULL,Ron,Boone,115
174,NULL,Bill,Melchionni,115
175,"The Horse",Harry,Gallatin,114
176,NULL,Don,Nelson,113
177,NULL,Glen,Rice,112
178,NULL,Swen,Nater,112
179,Ice,Steve,Kerr,110
180,NULL,Paul,Silas,109
181,NULL,Richie,Guerin,109
182,NULL,Blake,Griffin,108
183,"La Tanqueta",Marc,Gasol,107
184,Bird,George,Yardley,107
185,"The Great Wall",Yao,Ming,106
186,NULL,Stephon,Marbury,106
187,NULL,Terry,Cummings,106
188,Hooks,Bobby,Wanzer,106
189,Tricky,Dick,McGuire,106
190,PG-13,Paul,George,105
191,NULL,Elton,Brand,105
192,"Reign Man",Shawn,Kemp,105
193,"Hot Rod",Rod,Strickland,105
194,NULL,Larry,Brown,104
195,"The Whale",Willie,Naulls,104
196,Cornbread,Cedric,Maxwell,104
197,NULL,LaMarcus,Aldridge,103
198,NULL,Damian,Lillard,103
199,NULL,Ralph,Simpson,102
200,"The Enforcer",Maurice,Lucas,101
201,NULL,Warren,Jabali,100
202,NULL,Jack,Twyman,100
203,NULL,Mark,Price,100
204,Stilts,Arnie,Risen,100
205,NULL,Joakim,Noah,98
206,NULL,Willie,Wise,98
207,Boogie,DeMarcus,Cousins,97
208,"Optimus Dime",John,Wall,96
209,NULL,Larry,Costello,96
210,"The Stifle Tower",Rudy,Gobert,96
211,NULL,Tree,Rollins,95
212,NULL,Peja,Stojakovic,95
213,NULL,Maurice,Stokes,92
214,"Big Smokey",Klay,Thompson,91
215,NULL,Marques,Johnson,91
216,NULL,Andre,Miller,90
217,"Agent Zero",Gilbert,Arenas,90
218,"The Jet",Chet,Walker,89
219,NULL,Clifford,Robinson,88
220,"Uncle Drew",Kyrie,Irving,88
221,NULL,Larry,Nance,87
222,Z-Bo,Zach,Randolph,87
223,"The Beak",Alex,Groza,87
224,NULL,Bruce,Bowen,86
225,NULL,Charles,Oakley,85
226,"Pocket Rocket",Calvin,Murphy,85
227,Penny,Anfernee,Hardaway,85
228,Ziggy,Mark,Aguirre,85
229,NULL,Red,Robbins,85
230,NULL,George,Johnson,84
231,NULL,Bill,Bridges,84
232,"The Whopper",Billy,Paultz,83
233,NULL,Eddie,Jones,83
234,"Sweet Lou",Lou,Hudson,83
235,"Iso Jo",Joe,Johnson,82
236,"The Jet",Jason,Terry,82
237,NULL,Sam,Cassell,82
238,NULL,Jamal,Crawford,81
239,"Lamar Mundane",Dale,Ellis,80
240,Greyhound,Walter,Davis,79
241,"Air Congo",Serge,Ibaka,79
242,NULL,Fat,Lever,79
243,NULL,Gene,Shue,79
244,"Big Penguin",Andre,Drummond,78
245,AK47,Andrei,Kirilenko,78
246,NULL,Tom,Chambers,77
247,NULL,Theo,Ratliff,77
248,NULL,Randy,Smith,76
249,Mooney,Billy,Knight,76
250,NULL,Ralph,Sampson,74
251,NULL,Dan,Roundfield,74
252,NULL,Latrell,Sprewell,74
253,NULL,Freddie,Lewis,73
254,"Mr. All-Around",Tom,Gola,73
255,NULL,Doug,Moe,72
256,NULL,Terry,Porter,71
257,NULL,DeMar,DeRozan,71
258,Red,Johnny,Kerr,71
259,NULL,Paul,Seymour,71
260,NULL,Jeff,Hornacek,70
261,Pogo,Joe,Cardwell,70
262,NULL,Bob,Netolicky,69
263,NULL,Jimmy,Butler,68
264,Threezus,Kyle,Korver,67
265,NULL,Reggie,Theus,66
266,"Captain Late",James,Silas,66
267,Daggers,Brandon,Roy,65
268,NULL,Rasheed,Wallace,65
269,Devo,Kevin,Willis,63
270,Greyhound,Bob,Dandrige,62
271,"The Wall",Wayne,Embry,61
272,NULL,Doug,Christie,61
273,NULL,Carlos,Boozer,60
274,NULL,Otis,Thorpe,60
275,NULL,Kiki,Vandeweghe,60
276,NULL,John,Beasley,60
277,Toine,Antonie,Walker,60
278,NULL,Al,Horford,59
279,NULL,Ralph,Beard,58
280,"The Greek Freak",Giannis,Antetokounmpo,58
281,Butterbean,Bob,Love,58
282,NULL,John,Lucas,57
283,Silk,Jamaal,Wilkes,57
284,NULL,Juwan,Howard,57
285,"The Grindfather",Tony,Allen,57
286,"Raan Cheg",Manute,Bol,57
287,NULL,Andrew,Bynum,56
288,NULL,Antawn,Jamison,56
289,NULL,Derrick,Coleman,55
290,NULL,Kyle,Lowry,55
291,"The Grand Teuton",Detlef,Schrempf,55
292,NULL,Vin,Baker,54
293,Truck,Leonard,Robinson,54
294,NULL,Victor,Oladipo,54
295,Spider,Jerry,Sloan,53
296,NULL,Gerald,Wallace,53
297,NULL,Rickey,Green,53
298,"King in the Fourth",Isaiah,Thomas,52
299,Grandmama,Larry,Johnson,52
300,NULL,Darel,Carrier,51
301,NULL,Jerry,Stackhouse,51
302,"Nick the Quick",Nick,"Van Exel",50
303,NULL,Vlade,Divac,49
304,NULL,Steve,Francis,49
305,"Big Dukie",Brad,Daugherty,49
306,Ironman,A.C.,Green,49
307,NULL,Derek,Harper,49
308,Dice,Antonio,McDyess,49
309,NULL,Mike,Miller,48
310,"Special K",Karl-Anthony,Towns,48
311,Bird,Otis,Birdsong,48
312,Slammin,Sam,Lacey,48
313,"Mighty Mouse",Damon,Stoudamire,46
314,K,Larry,Kenon,45
315,"Pork Chop",Jeff,Mullins,45
316,NULL,Quinn,Buckner,45
317,"The Process",Joel,Embiid,45
318,NULL,Phil,Chenier,44
319,NULL,Hersey,Hawkins,44
320,NULL,Johnny,Moore,44
321,NULL,Ricky,Rubio,43
322,"The Anchorman",Paul,Millsap,43
323,NULL,Monta,Ellis,43
324,NULL,Sidney,Wicks,43
325,NULL,Phil,Smith,43
326,"Agent Block",Hassan,Whiteside,42
327,NULL,Dick,Garmaker,42
328,NULL,Terry,Dischinger,42
329,NULL,Scott,Wedman,42
330,NULL,Geoff,Petrie,40
331,NULL,Johnny,Green,39
332,NULL,Richard,Hamilton,38
333,NULL,Rudy,LaRusso,37
334,NULL,Mel,Hutchins,37
335,NULL,"Joe Barry",Carroll,37
336,NULL,Jeff,Malone,37
337,"D Square",Dale,Davis,36
338,Batman,Danny,Granger,35
339,NULL,Rudy,Tomjanovich,35
340,Thunder,Dan,Majerle,35
341,Dukes,James,Donaldson,35
342,NULL,Roy,Hibbert,34
343,NULL,Steve,Jones,34
344,Monster,Jamal,Mashburn,34
345,NULL,Alvan,Adams,34
346,NULL,Jack,Coleman,34
347,"Tuff Juice",Caron,Butler,33
348,Tip,George,Thompson,33
349,"The Original Sun",Dick,"Van Arsdale",33
350,NULL,John,Starks,33
351,NULL,Brook,Lopez,32
352,NULL,Shareef,Abdur-Rahim,32
353,NULL,Rashard,Lewis,31
354,"Big Cat",P.J.,Brown,31
355,NULL,Phil,Ford,31
356,NULL,Glen,Combs,30
357,NULL,Tom,"Van Arsdale",30
358,NULL,Cincinnatus,Powell,30
359,NULL,John,Drew,30
360,NULL,Don,Ohl,29
361,NULL,Stew,Johnson,29
362,NULL,Jim,Paxson,29
363,NULL,Kelly,Tripucka,28
364,NULL,Fred,Brown,28
365,NULL,Jrue,Holiday,27
366,"The Dunking Dutchman",Rik,Smits,27
367,NULL,JaVale,McGee,26
368,NULL,Rolando,Blackman,26
369,NULL,David,West,26
370,Batman,Shane,Battier,26
371,"Croatian Sensation",Toni,Kukoc,26
372,NULL,Mahmoud,Abdul-Rauf,26
373,NULL,Mike,Mitchell,26
374,Odie,Adrian,Smith,25
375,NULL,Doug,Collins,25
376,"The Dragon",Goran,Dragic,25
377,Ninja,Sean,Elliott,24
378,NULL,Ben,Simmons,24
379,NULL,Michael,Adams,23
380,"The Rifleman",Chuck,Person,23
381,"Dr. Dunkenstein",Darrell,Griffith,23
382,Bullet,Bob,Boozer,23
383,NULL,Jeff,Teague,22
384,NULL,Byron,Beck,22
385,"The Boston Strangler",Andrew,Toney,22
386,NULL,Michael,Carter-Williams,20
387,Horse,Bob,Kauffman,20
388,Duck,Don,Chaney,20
389,NULL,Byron,Scott,20
390,NULL,Antonio,Davis,20
391,NULL,Rodney,Seikaly,19
392,"Mozart of the Hoops",Drazen,Petrovic,19
393,"Maple Jordan",Andrew,Wiggins,18
394,NULL,Tyreke,Evans,17
395,NULL,Purvis,Short,17
396,NULL,Josh,Howard,16
397,Mad,Vernon,Maxwell,16
398,Jinx,Jalen,Rose,16
399,House,Rich,Jones,16
400,NULL,Brad,Davis,15
401,NULL,Tayshaun,Prince,14
402,NULL,T.R.,Dunn,13
403,NULL,Derrick,McKey,13
404,NULL,Gordon,Hayward,12
405,NULL,Clint,Capela,9
